Sample	Use	Well	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Unknown16	Unknown	H6		Checked	58.35	187.32	1.25	20.57	5.44	1.48	20.84	176.16	14.64	12.54	6.58	3.33	6.52	4.84	1.49	37.41	18.02	12.20	38.59	2.38	6.06	9.54	0.87	3.63	2.50	5.83	2.10	11.42	6.96	0.61	6.47	6.16	2.03	0.93	2.00	3.43	18.29	19.51	3.77	63.25	0.39	2.25	4.70	13.67	112.93	6.02	9.95	0.00	18.84	4.27
Unknown2	Unknown	B3		Checked	9623.55	94629.72	253.12	3806.02	1878.71	1667.14	5282.00	30179.09	3485.57	2233.67	1277.46	2817.54	1356.29	753.27	363.73	5756.51	9957.88	2875.34	6402.80	326.68	1266.97	3479.32	164.79	859.81	448.06	2416.49	684.00	3094.88	2504.29	145.78	367.50	1492.63	532.60	289.33	502.97	608.03	2393.10	2692.75	7166.77	11065.17	115.80	547.24	1439.40	2318.53	52163.53	1451.37	1954.91	120.50	4247.60	989.28
Unknown2	Unknown	B5		Checked	78621.37	319718.24	891.32	16677.39	6729.99	5845.01	16182.83	169398.18	16825.20	12479.77	5182.40	12095.73	5107.02	4336.65	1600.50	27963.95	24307.51	11456.82	34134.11	2081.08	5473.09	9820.42	533.90	3503.38	2407.12	8158.92	2035.19	9771.33	8502.00	658.42	4714.15	6450.02	1804.61	1245.79	1625.94	2571.44	8928.11	6699.58		25670.38	353.76	2028.65	4432.77	6768.95	232185.26	3881.79	8688.42	267.51	19362.24	4649.85
Unknown3	Unknown	C3		Checked	445.90	7868.42	32.27	46.83	34.06	36.11	317.55	1479.87	91.84	297.94	3240.34	3632.98	946.18	4.22	3.25	1159.87	289.65	35.67	70.58	28.73	63.30	152.52	6.05	94.78	86.93	4542.69	311.15	88.01	67.16		8.18	5153.28	5.63	10117.12	548.48	2434.97	282.52	1663.84	226.21	2064.93	23.72	69.85	4278.90	1144.43	45706.66	31.96	433.25	63.84	23.57	391.56
Unknown3	Unknown	C5		Checked	16597.85	100397.65	428.19	7068.08	2525.47	2249.66	7333.20	46812.36	5669.27	4016.40	1994.19	4766.43	2036.12	1394.21	484.33	10442.20	6145.16	3422.92	9736.59	689.73	1784.93	3410.52	244.54	1187.80	880.46	3240.22	598.71	3619.26	2758.75	209.15	1902.71	1956.13	615.88	428.77	578.63	782.22	4716.56	4643.61	24245.97	16412.38	156.75	869.23	1513.92	3720.26	59083.98	1730.15	3034.87	88.18	6053.20	1518.15
Unknown4	Unknown	D3		Checked	0.00	0.00	0.00	1.91	0.00	0.00	16.72	16.50	0.00	0.14	35.67	41.10	12.89	0.00	0.00	3.12	0.00	0.00	16.03	0.00	0.00	0.00	0.10	0.00	0.00	67.37	5.96	0.00	0.00	0.00	0.00	62.58	0.00	790.32	5.58	287.90	8.25	21.60	3.15	81.41	0.12	0.00	44.81	8.11	586.14	0.00	2.71	0.08	0.00	1.96
Unknown4	Unknown	D5		Checked	5167.16	34560.46	153.95	2179.04	759.55	616.05	2020.00	15665.17	1720.59	1248.48	631.97	1532.13	700.62	460.26	157.09	3531.15	2021.88	1140.26	3641.83	211.57	545.88	1091.12	78.07	371.34	271.10	993.73	192.62	1140.45	806.34	63.33	636.36	631.79	203.97	131.64	191.61	278.94	1625.90	1618.00	1169.54	6685.97	44.19	269.63	472.61	1277.27	18351.47	611.12	924.85	29.49	1841.38	472.74
Unknown5	Unknown	E3		Checked	193.02	1936.90	4.95	63.26	32.51	23.65	96.15	643.48	64.37	47.90	22.41	237.96	27.21	15.00	8.02	102.39	134.14	48.21	125.35	5.34	26.51	76.60	3.05	16.44	8.66	46.14	14.75	62.25	65.36	3.28	5.80	34.07	11.88	5.95	9.61	11.09	44.20	283.31	90.21	707.03	2.20	11.10	22.56	41.72	1339.23	30.54	143.93	1.86	84.28	22.25
Unknown5	Unknown	E5		Checked	1705.04	11761.34	47.56	718.99	245.90	203.26	665.94	5568.90	589.50	428.42	207.89	510.22	218.23	160.15	53.61	1165.12	721.29	394.24	1261.73	73.96	195.88	373.87	27.41	124.86	90.91	318.96	65.94	379.39	275.37	22.92	202.49	220.36	68.07	45.94	61.60	98.10	517.21	583.24	189.48	2167.37	14.35	84.91	165.19	426.46	6476.84	195.33	315.08	9.76	655.82	161.85
Unknown6	Unknown	F3		Checked	9776.50	96399.16	270.01	3785.24	1922.86	1633.82	5574.42	28957.37	3591.25	2253.92	1298.87	2785.62	1375.95	743.99	360.78	5765.98	9957.88	2904.02	6485.21	334.18	1281.32	3473.53	169.60	889.05	459.30	2468.54	707.51	3077.98	2576.09	152.58	383.45	1481.09	575.84	298.65	502.37	605.06	2957.40	2817.02	6943.26	11953.19	120.60	581.59	1439.95	2366.49	53723.37	1470.64	1978.39	119.07	4300.42	1043.40
Unknown6	Unknown	F5		Checked	612.94	4207.02	16.48	232.92	85.41	74.95	240.51	1979.49	207.51	150.36	72.83	166.67	75.96	51.81	18.83	401.33	249.21	138.95	411.23	26.02	67.10	124.78	9.14	44.35	31.56	114.81	23.80	129.97	103.73	7.86	70.18	78.85	23.46	15.80	21.19	31.72	180.47	181.98	35.91	592.91	5.31	29.47	57.36	134.84	2450.74	67.23	112.27	3.27	235.75	58.50
Unknown7	Unknown	G3		Checked	423.87	7675.50	31.69	46.83	32.51	32.44	313.89	1460.20	90.89	300.82	3053.79	3621.80	936.33	4.63	2.60	1143.12	262.72	34.63	62.16	31.01	61.68	155.21	6.05	97.67	84.39	4557.04	301.09	87.07	67.16	0.68	8.12	5279.91	5.51	9690.17	553.44	2042.06	248.98	1495.37	163.19	2084.33	24.76	72.61	4026.35	1111.85	46052.07	33.03	451.15	60.99	24.98	390.86
Unknown7	Unknown	G5		Checked	201.79	1250.67	5.31	71.57	27.75	24.67	80.88	627.05	67.39	48.34	23.05	54.78	23.50	16.68	5.91	128.04	78.22	45.06	120.73	8.03	21.91	39.65	2.67	13.59	9.76	34.00	7.57	41.50	32.93	2.46	21.03	23.49	7.39	5.02	6.85	9.70	55.33	60.04	8.28	163.83	1.60	9.34	19.13	46.06	847.07	19.99	36.28	0.87	77.62	18.68
Unknown8	Unknown	H3		Checked	0.00	0.00	0.00	1.91	0.00	0.00	15.59	12.49	0.00	0.14	33.04	38.55	12.36	0.00	0.00	1.20	0.00	0.00	16.03	0.01	0.00	0.00	0.10	0.00	0.00	66.61	5.38	0.00	0.00	0.00	0.00	59.40	0.00	677.86	5.18	266.21	7.78	20.66	3.77	79.43	0.05	0.00	39.54	6.77	558.88	0.00	3.03	0.00	0.00	1.67
Unknown8	Unknown	H5		Checked	55.70	216.42	1.25	21.40	6.89	3.58	22.33	182.57	15.92	13.40	6.29	15.80	6.84	4.84	1.49	37.41	15.85	12.20	38.59	2.22	5.70	10.73	0.87	3.63	2.50	5.83	2.10	11.42	6.96	0.68	6.47	6.51	2.14	1.20	2.00	3.43	17.84	19.90	3.56	67.36	0.39	2.43	4.70	13.71	184.53	6.02	10.29	0.03	18.84	4.85
Unknown9	Unknown	A4		Checked	195.94	2022.71	5.13	66.05	33.03	25.68	101.67	676.59	67.39	50.12	24.00	244.80	28.38	15.24	8.47	107.17	138.09	50.84	133.68	5.59	27.80	75.90	3.10	16.44	9.29	50.69	16.19	64.06	67.41	3.47	5.80	35.98	12.00	6.38	9.71	12.01	47.57	285.32	98.95	729.25	2.26	11.74	25.72	44.54	1373.69	31.25	150.02	1.91	90.95	22.85
Unknown9	Unknown	A6		Checked	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.30	4.66	9.20	2.95	39.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
