Sample	Use	Well	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Standard5	Standard	F1		Checked	593.38	4469.63	16.43	239.49	87.03	78.70	235.01	2023.49	213.37	153.11	74.02	165.76	74.86	54.30	19.56	397.27	251.20	138.58	407.32	26.04	68.82	128.18	8.66	46.61	31.91	119.29	24.38	140.84	106.57	8.35	69.52	78.95	24.55	15.87	21.93	32.65	192.10	189.32	36.95	617.41	5.34	31.04	62.94	138.68	2428.89	70.39	113.33	3.60	241.80	62.01
Standard5	Standard	F2		Checked	557.70	4069.07	15.09	225.50	79.18	71.10	220.82	1759.90	196.63	137.74	68.43	158.27	71.02	46.80	17.27	357.98	227.84	125.79	381.85	24.41	59.90	119.42	8.27	41.68	29.42	108.69	22.55	128.55	98.36	7.60	66.45	72.77	23.00	14.71	20.98	31.51	174.75	182.99	35.32	563.75	5.11	28.11	56.10	130.17	2270.82	62.69	105.56	3.17	221.32	55.71
Standard6	Standard	G1		Checked	207.66	1541.63	5.82	82.13	32.35	29.92	86.56	685.68	73.19	53.67	25.93	61.69	26.38	19.46	7.64	138.37	91.07	48.00	132.95	8.97	23.98	45.80	2.97	17.73	11.18	41.91	8.47	48.38	39.46	3.00	23.96	27.84	8.41	6.08	7.69	10.81	60.67	65.59	12.50	198.49	1.88	11.07	22.46	50.90	948.61	24.60	41.78	1.30	84.89	22.16
Standard6	Standard	G2		Checked	198.87	1390.34	5.55	78.25	30.24	26.97	80.89	637.49	72.21	49.35	23.99	57.65	24.63	17.86	6.43	131.91	82.72	46.47	128.35	8.36	21.95	42.17	2.84	15.62	10.55	37.33	8.05	46.01	35.36	2.80	23.46	27.10	8.11	5.30	7.49	10.29	57.55	63.73	12.13	194.75	1.79	10.28	21.39	47.72	913.96	22.84	38.60	1.14	81.17	20.42
Standard7	Standard	H1		Checked	66.35	860.08	1.81	30.97	10.88	9.20	24.78	212.45	21.45	16.23	8.28	23.78	8.34	5.85	2.08	44.82	27.94	15.32	45.05	2.90	7.27	13.45	0.98	5.02	3.47	13.50	2.62	15.62	11.00	0.93	7.80	9.06	2.57	1.76	2.47	3.70	20.08	21.05	4.02	65.80	0.62	3.48	6.64	15.73	209.88	7.68	12.56	0.60	26.18	6.76
Standard7	Standard	H2		Checked	61.01	282.73	1.70	27.37	7.36	5.39	22.50	199.94	20.25	15.40	7.38	15.48	7.72	5.42	1.90	40.39	24.22	13.36	42.78	2.63	6.44	13.45	0.94	4.31	3.15	11.16	2.49	13.97	10.19	0.83	7.54	7.68	2.57	1.68	2.31	3.43	19.63	21.42	4.02	65.80	0.51	3.14	6.10	15.27	209.88	7.34	11.20	0.31	22.97	5.92
Unknown1	Unknown	A3		Checked	190.10	2133.01	5.19	63.86	34.69	23.91	103.45	669.53	69.26	49.35	23.66	241.04	27.88	15.79	8.17	103.18	133.77	47.49	132.95	5.32	28.32	79.05	3.13	16.32	9.22	48.77	14.94	64.00	66.35	3.30	5.68	34.20	11.82	6.50	10.06	11.75	46.02	289.67	67.60	702.17	2.23	11.47	24.35	43.89	1293.21	30.96	151.87	2.08	88.61	21.29
Unknown1	Unknown	A5		Checked	0.00	0.00	0.00	5.64	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.12	4.39	9.37	0.00	16.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Unknown10	Unknown	B4		Checked	9970.23	108091.86	263.75	3805.16	1991.09	1619.76	5284.59	32737.99	3687.18	2334.06	1293.80	2860.54	1333.36	784.18	393.89	5863.59	13217.01	3289.74	6822.16	336.23	1332.10	3647.81	169.88	920.34	459.78	2420.83	783.08	3088.67	2808.52	166.61	383.18	1621.24	577.39	304.17	508.97	622.15	2565.12	2744.39	719.76	8773.48	112.34	566.13	1522.09	2406.65	65707.70	1522.81	2072.22	130.52	4567.97	1062.85
Unknown10	Unknown	B6		Checked	82996.52		713.42	12325.33	13658.44	5426.38	14361.23	251539.10	22365.20	18888.00	5731.68	25432.65	3845.18	6011.15	2317.37	25234.34	54829.44	25459.74		2403.30	6932.99	12049.41	403.04	5318.47	2836.58	8804.90	2794.59	11113.17	10813.14	1036.95	3908.04	8259.34	2570.52	1414.43	2177.61	5186.46	7469.53	7936.80	2433.50	31907.99	283.33	1760.53	5831.21	5081.76		4133.96	10959.02	370.25	28707.23	6598.06
