Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Standard5	Standard	F1		Checked	582.63	4607.82	16.68	243.00	85.67	75.57	228.92	2013.47	211.31	151.85	73.26	164.00	74.58	54.37	19.11	400.70	248.45	137.95	406.14	25.75	68.13	126.86	8.62	45.70	31.72	118.08	24.24	140.67	103.63	8.30	69.92	78.43	24.44	15.66	21.92	32.75	190.27	188.29	37.02	617.57	5.41	31.09	62.55	139.11	2286.82	71.17	111.36	3.59	238.67	61.18
Standard5	Standard	F2		Checked	546.26	4209.29	15.34	229.01	77.69	68.13	215.07	1742.03	194.30	136.08	67.67	156.39	70.73	46.69	16.80	361.33	224.51	124.69	380.75	24.11	59.10	118.01	8.25	40.71	29.21	107.50	22.37	128.30	95.37	7.53	66.84	72.15	22.87	14.48	20.95	31.60	173.10	182.11	35.38	564.21	5.18	28.15	55.59	130.66	2125.08	63.38	103.52	3.16	217.81	54.77
Standard6	Standard	G1		Checked	198.31	1619.92	5.94	83.22	31.16	28.48	84.55	663.67	71.10	51.72	25.49	59.69	26.19	19.13	7.27	140.24	87.63	46.34	132.59	8.78	23.37	44.48	3.01	16.99	11.02	41.29	8.23	48.05	37.37	2.93	24.17	27.22	8.21	5.85	7.58	10.81	60.35	66.44	12.49	199.57	1.94	11.08	21.92	51.37	841.99	24.74	40.38	1.27	81.97	21.35
Standard6	Standard	G2		Checked	189.88	1458.82	5.67	79.18	29.13	25.71	79.07	616.94	70.15	47.52	23.58	55.72	24.45	17.54	6.10	133.70	79.55	44.85	128.00	8.19	21.40	40.92	2.87	14.95	10.40	36.79	7.82	45.70	33.46	2.73	23.66	26.50	7.92	5.09	7.38	10.28	57.26	64.57	12.11	195.82	1.84	10.28	20.86	48.14	810.75	22.96	37.32	1.11	78.38	19.68
Standard7	Standard	H1		Checked	66.53	883.69	1.73	28.66	11.04	9.47	25.08	216.10	21.99	16.20	8.35	23.17	8.33	5.84	2.05	45.07	28.11	15.59	44.97	2.92	7.46	13.21	0.97	5.04	3.50	13.57	2.65	15.76	10.93	0.94	7.75	9.21	2.57	1.72	2.47	3.69	20.16	20.93	4.00	65.87	0.62	3.42	6.72	15.19	230.34	7.49	12.77	0.57	26.80	6.84
Standard7	Standard	H2		Checked	61.75	219.15	1.61	24.65	7.94	6.22	22.90	204.70	20.90	15.44	7.48	15.57	7.73	5.42	1.90	40.52	24.76	13.83	42.71	2.66	6.69	13.21	0.93	4.41	3.19	11.32	2.53	14.15	10.22	0.85	7.48	7.92	2.57	1.65	2.32	3.42	19.72	21.33	4.00	65.87	0.51	3.08	6.23	14.69	230.34	7.15	11.53	0.29	23.91	6.09
Unknown1	Unknown	A3		Checked	181.50	2240.83	5.29	64.05	33.43	22.86	100.89	647.98	67.28	47.52	23.27	240.99	27.69	15.49	7.78	104.57	129.60	45.84	132.59	5.24	27.60	77.44	3.17	15.63	9.09	48.04	14.65	63.60	63.50	3.22	5.57	33.47	11.58	6.26	9.94	11.76	45.86	285.78	67.88	701.78	2.29	11.48	23.77	44.25	1161.06	31.21	150.51	2.05	85.57	20.51
Unknown1	Unknown	A5		Checked	0.36	0.00	0.00	0.00	0.00	0.00	0.00	22.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.11	4.58	8.14	0.00	15.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Unknown2	Unknown	B3		Checked	9609.96	79553.74	266.79	3813.47	1910.17	1679.86	5165.71	32287.30	3633.82	2346.05	1277.95	2920.35	1404.50	774.44	387.40	5760.34	10118.02	3048.23	6391.95	335.33	1322.35	3512.03	170.42	900.20	455.60	2390.71	718.34	3057.27	2624.01	154.26	369.48	1544.07	539.63	306.17	505.07	613.10	2517.27	2657.86	724.56	8617.93	113.77	550.81	1475.40	2571.81	56507.43	1474.44	2021.77	121.72	4475.14	1044.63
Unknown2	Unknown	B5		Checked	44335.73	620685.49	904.62	16077.18	6360.05	5169.37	15437.75	141427.57	14924.61	11172.57	5129.50	11293.39	4939.97	4107.68	1487.77	26748.55	19482.45	10522.21	35407.45	1960.81	4965.51	9358.97	544.45	3381.53	2363.65	7864.93	1788.42	9412.97	7330.76	598.53	4601.59	5919.54	1745.86	1145.48	1586.11	2764.49	9094.46	6665.79	2423.49	41486.32	333.73	1955.29	4227.07	6975.21	178112.33	3762.50	8010.20	257.87	16842.04	4197.53
Unknown3	Unknown	C3		Indeterminate	433.12	7741.11	32.47	46.89	33.18	34.68	312.64	1418.51	88.95	295.87	3223.66	3786.85	972.88	4.22	3.08	1168.41	273.49	34.13	71.52	28.20	62.09	151.29	6.06	93.90	87.13	4446.43	334.84	88.19	62.76		8.14	4891.04	5.54	3765.07	550.42	2623.93	278.77	1629.33	121.75	1717.57	23.70	70.21	4097.17	1190.00	49786.18	32.29	439.34	65.34	24.73	408.63
Unknown3	Unknown	C5		Checked	15451.27	84907.94	466.44	7064.41	2552.60	2239.89	7144.13	48887.22	5808.67	4147.23	1991.18	4984.89	2118.24	1418.42	513.23	10359.79	6600.18	3607.92	10020.83	701.77	1839.90	3443.97	261.65	1238.45	891.71	3192.21	634.30	3566.33	2872.74	218.88	1964.71	2007.98	622.62	447.44	580.43	799.54	5122.57	4627.64	973.51	14660.18	153.10	870.15	1549.95	4234.32	63492.20	1756.08	3102.19	89.82	6274.64	1581.00
Unknown4	Unknown	D3		Checked	6.42	0.00	0.00	1.72	0.00	0.00	16.66	50.00	0.00	2.62	35.50	40.21	12.79	0.00	0.00	3.02	0.00	0.00	13.09	0.22	0.00	0.00	0.00	0.16	0.02	66.81	5.67	0.00	0.00	0.00	0.00	61.16	0.00	782.15	5.59	284.05	8.25	21.52	0.00	86.05	0.12	0.00	43.47	6.97	493.61	0.00	3.82	0.07	0.00	2.91
Unknown4	Unknown	D5		Checked	5341.80	29327.18	157.80	2181.43	771.67	622.27	1985.29	16811.60	1792.41	1305.32	632.69	1566.36	716.26	473.52	164.59	3546.38	2183.80	1204.57	3550.01	216.46	570.59	1106.70	76.91	384.78	275.08	989.17	205.38	1138.09	849.98	66.50	643.81	653.96	207.18	139.02	192.78	275.10	1670.97	1583.95	324.71	5011.34	43.92	271.83	484.11	1339.79	19522.34	617.21	954.30	30.21	1939.34	496.12
Unknown5	Unknown	E3		Checked	184.29	2149.68	5.01	63.35	31.67	22.86	94.78	609.25	62.48	45.43	22.32	236.67	27.05	14.78	7.35	102.96	122.23	45.84	127.23	5.24	25.60	75.36	3.09	15.63	8.55	45.79	13.91	62.39	61.02	3.11	5.71	33.10	11.70	5.67	9.62	11.25	44.19	280.35	67.31	687.82	2.24	11.08	21.79	42.05	1130.44	30.85	141.29	1.82	80.18	21.07
Unknown5	Unknown	E5		Checked	1745.64	11071.30	47.77	719.07	245.46	200.65	655.42	5727.21	597.41	432.01	207.69	512.39	219.69	162.99	53.21	1173.69	728.59	399.70	1226.91	74.16	199.32	375.16	26.67	124.93	91.17	317.33	66.77	379.99	275.89	23.10	203.11	222.51	68.40	46.86	61.87	96.91	512.17	571.38	108.81	1791.05	14.40	85.40	165.15	424.96	6276.36	196.67	316.55	9.87	664.68	162.79
Unknown6	Unknown	F3		Checked	9748.62	81182.82	285.83	3792.63	1954.44	1647.18	5448.85	31018.81	3741.97	2367.15	1299.31	2886.48	1425.22	764.97	384.27	5769.73	10118.02	3077.84	6479.29	343.04	1336.96	3506.30	175.85	930.67	467.04	2441.57	741.11	3040.82	2694.68	161.33	385.64	1532.37	582.80	315.82	504.47	609.96	3152.35	2783.05	717.15	9461.80	118.40	585.13	1475.96	2629.88	58101.78	1493.98	2045.72	120.31	4529.14	1100.82
